org_id,org_name,street,city_name,state_id,zip_code,mission,web_url,phone,email,org_type,org_size,org_rating,is_collaborator,is_contributor,created_at,last_updated_at
ORG000001,Solace Care Collective,5716 Sunset Way,Alexandria,1,22314,To dignity care strengthen relief empower serve neighbors connect.,https://www.solacecarecollective-000001.example,+1-202-555-0152,contact@solacecarecollective-000001.example,for_profit,small,5,False,True,2024-01-12 04:32:16,2024-04-08 17:06:10
ORG000002,Guardian Support Collective,6657 Maple Way,Port Manchesterwood,9,M1 6YJ,To access resilience strengthen wellbeing empower volunteers care relief support.,https://www.guardiansupportcollectiv-000002.example,,contact@guardiansupportcollectiv-000002.example,for_profit,small,2,False,True,2025-01-18 23:02:48,2025-04-12 05:39:24
ORG000003,Open Community Initiative,3156 River Rd,Austin,4,78701,To uplift assist communities neighbors relief wellbeing support dignity.,https://www.opencommunityinitiative-000003.example,+1-202-555-0190,,for_profit,large,3,False,False,2025-07-07 05:58:10,2025-08-12 12:08:24
ORG000004,Evergreen Foundation Trust,2304 Park Ln,Richmond,1,23219,To uplift opportunity volunteers communities access resources support care.,https://www.evergreenfoundationtrust-000004.example,+1-202-555-0148,,for_profit,medium,5,False,True,2024-05-13 15:21:28,2024-07-21 03:42:17
ORG000005,Helping Support Trust,4194 Maple Dr,Ottawa,6,K1P 1J1,To families uplift opportunity support strengthen serve communities assist wellbeing connect.,https://www.helpingsupporttrust-000005.example,+1-416-555-0146,contact@helpingsupporttrust-000005.example,non_profit,medium,5,False,False,2024-09-08 12:07:37,2024-11-28 04:57:37
ORG000006,Helping Alliance Society,9669 Maple Blvd,West Mumbaiton,11,400477,To communities connect access empower resilience opportunity families resources.,https://www.helpingalliancesociety-000006.example,,contact@helpingalliancesociety-000006.example,for_profit,small,5,False,False,2025-07-11 21:01:43,2025-08-03 22:16:29
ORG000007,Solace Support Collective,1250 Pine Blvd,Fort Puneton,11,411710,To relief resources dignity strengthen families opportunity empower communities volunteers resilience.,https://www.solacesupportcollective-000007.example,,contact@solacesupportcollective-000007.example,non_profit,medium,1,True,False,2025-06-22 00:10:58,2025-10-13 16:42:10
ORG000008,Helping Assistance Foundation,8636 Lake Ln,Fort Puneton,11,411710,To connect uplift support wellbeing volunteers relief resources care resilience opportunity.,https://www.helpingassistancefoundat-000008.example,,contact@helpingassistancefoundat-000008.example,for_profit,medium,3,True,True,2025-04-27 09:01:20,2025-05-08 07:03:31
ORG000009,Bright Assistance Society,4409 Washington Way,West Montrealville,8,H2Y 6A2,To resilience volunteers support serve strengthen connect assist wellbeing resources.,https://www.brightassistancesociety-000009.example,+1-416-555-0173,contact@brightassistancesociety-000009.example,for_profit,small,1,True,False,2024-05-21 06:55:44,2024-05-29 08:51:40
ORG000010,Guardian Assistance Trust,9386 Elm Ct,North Arlingtonford,1,22248,To communities wellbeing assist care neighbors resources volunteers support opportunity.,https://www.guardianassistancetrust-000010.example,+1-202-555-0106,contact@guardianassistancetrust-000010.example,for_profit,medium,4,False,True,2024-10-27 08:34:59,2025-02-24 14:46:59
ORG000011,Evergreen Support Services,7542 Main Ave,Albany,3,12207,To empower serve dignity access families opportunity communities volunteers connect support.,https://www.evergreensupportservices-000011.example,+1-202-555-0179,contact@evergreensupportservices-000011.example,non_profit,large,2,True,False,2024-10-02 08:42:34,2024-11-15 01:27:40
ORG000012,Helping Network Trust,62 Union Ln,South Albanybridge,3,12243,To assist access volunteers strengthen families empower wellbeing neighbors opportunity care resilience dignity.,https://www.helpingnetworktrust-000012.example,+1-202-555-0109,contact@helpingnetworktrust-000012.example,non_profit,large,4,True,False,2024-05-09 16:14:45,2024-05-29 10:43:38
ORG000013,Solace Support Trust,4900 Hill Ct,Arlington,1,22201,To relief dignity strengthen care connect opportunity families empower neighbors.,https://www.solacesupporttrust-000013.example,+1-202-555-0169,contact@solacesupporttrust-000013.example,non_profit,small,3,False,False,2025-04-15 18:44:54,2025-04-30 04:43:05
ORG000014,Guardian Network Society,4226 Pine Rd,Nuremberg,17,90402,To assist volunteers families resilience neighbors communities connect opportunity relief strengthen.,https://www.guardiannetworksociety-000014.example,,contact@guardiannetworksociety-000014.example,for_profit,large,3,True,True,2024-08-30 05:27:45,2024-12-09 19:57:55
ORG000015,Open Community Network,308 River Ln,Mount Newcastlewood,14,2341,To families access dignity empower volunteers support resources opportunity relief.,https://www.opencommunitynetwork-000015.example,,contact@opencommunitynetwork-000015.example,non_profit,medium,3,False,True,2025-08-08 10:48:51,2025-09-05 19:48:25
