state_id,country_id,state_name,state_code,last_updated_at
1,1,VIRGINIA,VA,2025-07-28 15:45:41
2,1,CALIFORNIA,CA,2025-07-01 08:15:10
3,1,NEW_YORK,NY,2024-03-06 21:24:38
4,1,TEXAS,TX,2025-05-12 11:48:34
5,1,WASHINGTON,WA,2025-04-29 22:12:06
6,2,ONTARIO,ON,2025-04-10 18:27:44
7,2,BRITISH_COLUMBIA,BC,2024-08-07 01:16:08
8,2,QUEBEC,QC,2024-05-10 10:19:23
9,3,ENGLAND,ENG,2024-02-09 12:38:27
10,3,SCOTLAND,SCT,2024-06-23 06:05:18
11,4,MAHARASHTRA,MH,2025-06-18 00:40:15
12,4,KARNATAKA,KA,2025-05-12 09:24:21
13,4,DELHI,DL,2025-07-31 15:29:44
14,5,NEW_SOUTH_WALES,NSW,2025-04-16 07:09:27
15,5,VICTORIA,VIC,2025-05-17 23:50:01
16,6,BERLIN,BE,2024-02-26 02:18:44
17,6,BAVARIA,BY,2024-03-03 04:47:06
18,6,HAMBURG,HH,2025-05-20 23:05:38
