user_id,prev_loc,curr_loc,last_updated_at
a075e927-5110-b492-f442-7e0b61484bb3,,SRID=4326;POINT(144.962193 -37.811889),2024-12-19 13:23:00
9ea556aa-61ee-6c5b-deef-580f9c07a751,SRID=4326;POINT(151.206992 -33.862501),SRID=4326;POINT(151.204779 -33.867043),2025-05-12 12:29:40
fe2110d0-4bbe-4aff-9326-dffd5be4bf51,SRID=4326;POINT(144.961107 -37.814455),SRID=4326;POINT(144.964958 -37.811165),2024-04-22 14:18:37
bfbf397b-ac3e-7b0d-5e5b-a13d746cdb77,SRID=4326;POINT(151.784933 -32.926686),SRID=4326;POINT(151.781596 -32.923736),2024-08-13 07:29:24
b24cc64f-be3e-6e57-f30a-9e32aba4fc03,SRID=4326;POINT(73.854039 18.517110),SRID=4326;POINT(73.855184 18.515033),2024-05-06 07:52:22
90882eaf-c977-6598-203c-8c25fd235def,SRID=4326;POINT(-96.792348 32.780354),SRID=4326;POINT(-96.794886 32.778032),2024-10-16 16:44:25
9afd4015-816b-cb9f-7426-b1934b7e6b3c,,SRID=4326;POINT(-1.888668 52.487716),2025-04-18 22:22:58
692ac139-1f4a-8ca1-ab85-fd595463adc7,SRID=4326;POINT(-123.117972 49.281931),SRID=4326;POINT(-123.117206 49.281093),2025-02-02 00:09:43
ebe9e207-4f19-9ec0-c32d-4526b3e4110a,SRID=4326;POINT(-123.366221 48.426504),SRID=4326;POINT(-123.369264 48.427623),2025-09-07 11:30:02
7129cec7-9b69-554d-7c54-535f6c8c3b6a,SRID=4326;POINT(-0.129706 51.509049),SRID=4326;POINT(-0.130243 51.505619),2025-05-12 22:58:33
d556b37d-8f08-81ee-8011-316b3ae88926,SRID=4326;POINT(151.211291 -33.868268),SRID=4326;POINT(151.211870 -33.867751),2025-04-21 08:55:06
fb7d9f1c-57eb-89b1-d65e-59dde62d2d06,SRID=4326;POINT(144.959444 -37.813549),SRID=4326;POINT(144.963040 -37.816045),2024-09-24 12:12:29
09a9d1c1-86ca-c6f4-e238-fe93bd17c5e8,SRID=4326;POINT(151.781391 -32.926701),SRID=4326;POINT(151.782126 -32.930350),2025-04-25 07:07:28
400035f0-df7d-0dd7-236e-16089acb394a,SRID=4326;POINT(-77.110385 38.876066),SRID=4326;POINT(-77.110575 38.877822),2024-06-06 04:27:48
2339ba19-2563-7cc3-ca97-ebf555d596af,SRID=4326;POINT(-77.045181 38.807012),SRID=4326;POINT(-77.043315 38.803323),2025-05-06 01:54:00
5a5226e6-9d64-2932-0066-853d6de299a1,SRID=4326;POINT(-117.426350 47.661304),SRID=4326;POINT(-117.428162 47.658597),2025-01-20 23:18:21
a1b970d0-7a81-04de-b205-07bbfb16f757,SRID=4326;POINT(-97.745312 30.270024),SRID=4326;POINT(-97.744682 30.269112),2025-01-16 12:23:34
8fc9c86b-e9dd-ebf5-6311-9aca848af440,SRID=4326;POINT(-74.004584 40.715615),SRID=4326;POINT(-74.005744 40.712756),2024-12-14 23:38:55
0e2f8958-de43-1e06-e924-706980bbae52,SRID=4326;POINT(9.991954 53.549507),SRID=4326;POINT(9.994237 53.551449),2024-08-01 17:43:54
14cb0564-0743-7c3b-dd20-c3bfd342af08,,SRID=4326;POINT(-76.287754 36.851339),2025-06-29 07:30:51
3de28859-51b1-943c-1b2e-dedb8fc85fc0,,SRID=4326;POINT(-2.244461 53.481801),2024-08-01 17:52:38
7eb162f1-4806-f804-0cf0-374c0c74dc0f,SRID=4326;POINT(76.638938 12.293269),SRID=4326;POINT(76.635705 12.294840),2025-04-21 02:26:24
8255da61-9a3b-0319-32f5-751024eeb4a6,,SRID=4326;POINT(-71.202952 46.812394),2025-01-17 23:56:34
ff84faef-5336-723b-8f96-468535145890,,SRID=4326;POINT(151.778752 -32.930662),2024-07-20 11:45:24
e5508ea2-6133-a34d-8b0e-8eb1ad371d9e,,SRID=4326;POINT(-73.565493 45.504695),2024-12-13 13:43:10
01539221-2331-0a28-c550-eca8ae62990c,,SRID=4326;POINT(72.874026 19.073124),2024-11-19 02:25:36
8639bd41-8b15-bd94-a42d-0cd7fd359f6a,SRID=4326;POINT(-3.187565 55.951482),SRID=4326;POINT(-3.184402 55.953918),2024-08-07 10:49:12
725d4259-3c4b-1eec-6231-ee7342c2d2eb,,SRID=4326;POINT(13.404797 52.525762),2025-10-22 20:43:53
899ac252-c1e1-b94a-7888-3058e9ad0e9b,SRID=4326;POINT(11.578434 48.135414),SRID=4326;POINT(11.579874 48.137391),2025-04-10 01:33:28
0ec7d662-905c-7bdd-74f0-beae6a5943ce,SRID=4326;POINT(73.854069 18.525307),SRID=4326;POINT(73.853661 18.521691),2025-01-02 23:52:18
3ea6e5b2-0c76-0d28-df49-5037b40a9181,SRID=4326;POINT(144.969722 -37.810002),SRID=4326;POINT(144.964737 -37.810998),2025-09-04 07:30:57
f8e8035b-0c00-988a-7ee1-011a8e4c3ab5,,SRID=4326;POINT(-123.125156 49.289061),2025-04-24 03:14:32
30c36756-d453-f867-b97e-6224891f6912,,SRID=4326;POINT(-77.111148 38.879134),2024-08-10 17:57:54
