"language_id","language_name","iso_639_1_code","locale_code","writing_direction","total_speakers_m","is_active","created_at","last_updated_at"
"1","English","en","en_US","LTR","1515.0",True,"2025-12-17 01:45:05.345391","2025-12-17 01:45:05.345391"
"2","Mandarin Chinese","zh","zh_CN","LTR","1140.0",True,"2025-12-17 01:45:05.345391","2025-12-17 01:45:05.345391"
"3","Hindi","hi","hi_IN","LTR","609.0",True,"2025-12-17 01:45:05.345391","2025-12-17 01:45:05.345391"
"4","Spanish","es","es_ES","LTR","560.0",True,"2025-12-17 01:45:05.345391","2025-12-17 01:45:05.345391"
"5","French","fr","fr_FR","LTR","312.0",True,"2025-12-17 01:45:05.345391","2025-12-17 01:45:05.345391"
"6","Arabic","ar","ar_SA","RTL","280.0",True,"2025-12-17 01:45:05.345391","2025-12-17 01:45:05.345391"
"7","Bengali","bn","bn_BD","LTR","278.0",True,"2025-12-17 01:45:05.345391","2025-12-17 01:45:05.345391"
"8","Portuguese","pt","pt_PT","LTR","264.0",True,"2025-12-17 01:45:05.345391","2025-12-17 01:45:05.345391"
"9","Russian","ru","ru_RU","LTR","255.0",True,"2025-12-17 01:45:05.345391","2025-12-17 01:45:05.345391"
"10","Urdu","ur","ur_PK","RTL","230.0",True,"2025-12-17 01:45:05.345391","2025-12-17 01:45:05.345391"
"11","German","de","de_DE","LTR","134.0",True,"2025-12-17 01:45:05.345391","2025-12-17 01:45:05.345391"
"12","Telugu","te","te_IN","LTR","96.0",True,"2025-12-17 01:45:05.345391","2025-12-17 01:45:05.345391"
