user_id,prev_loc,curr_loc,updated_at
MOCK-USR-000001,SRID=4326;POINT(-121.907973 37.335183),SRID=4326;POINT(-121.905029 37.349442),2026-02-05 17:58:41
MOCK-USR-000002,SRID=4326;POINT(-77.528691 39.067276),SRID=4326;POINT(-77.509163 39.057258),2026-01-13 11:24:24
MOCK-USR-000003,SRID=4326;POINT(-97.745544 30.292573),SRID=4326;POINT(-97.727293 30.286794),2026-01-30 14:49:05
MOCK-USR-000004,SRID=4326;POINT(77.580954 13.009612),SRID=4326;POINT(77.600578 12.997916),2026-02-04 11:34:47
MOCK-USR-000005,SRID=4326;POINT(-6.263701 53.334453),SRID=4326;POINT(-6.261474 53.331939),2026-02-14 13:19:21
MOCK-USR-000006,SRID=4326;POINT(-79.378844 43.628527),SRID=4326;POINT(-79.380588 43.637829),2026-01-22 17:52:02
MOCK-USR-000007,SRID=4326;POINT(-123.324902 37.757744),SRID=4326;POINT(-123.310575 37.744284),2026-02-13 18:01:14
MOCK-USR-000008,SRID=4326;POINT(-78.293287 38.336766),SRID=4326;POINT(-78.308446 38.347731),2026-01-25 22:43:56
MOCK-USR-000009,SRID=4326;POINT(-97.218160 30.940857),SRID=4326;POINT(-97.236394 30.956788),2026-02-09 15:04:39
MOCK-USR-000010,SRID=4326;POINT(76.362632 14.123161),SRID=4326;POINT(76.380898 14.139769),2026-02-22 16:11:27
MOCK-USR-000011,SRID=4326;POINT(-7.653451 53.107550),SRID=4326;POINT(-7.660142 53.121542),2026-02-08 18:39:52
MOCK-USR-000012,SRID=4326;POINT(-79.386104 42.831608),SRID=4326;POINT(-79.380868 42.831638),2026-01-26 13:51:58
MOCK-USR-000013,SRID=4326;POINT(-122.775240 35.950622),SRID=4326;POINT(-122.761104 35.939511),2026-02-22 12:24:28
MOCK-USR-000014,SRID=4326;POINT(-77.371142 39.479311),SRID=4326;POINT(-77.356929 39.470243),2026-02-17 19:08:11
MOCK-USR-000015,SRID=4326;POINT(-97.483315 29.425418),SRID=4326;POINT(-97.479873 29.417681),2026-02-10 01:21:08
MOCK-USR-000016,SRID=4326;POINT(76.115221 13.896361),SRID=4326;POINT(76.113922 13.895011),2026-03-04 18:24:05
