user_id,prev_loc,curr_loc,last_updated_at
SID-00-000-000-000-000-330,SRID=4326;POINT(-95.907968 41.199397),SRID=4326;POINT(-95.935727 41.206778),2025-11-11 01:14:26
SID-00-000-000-000-000-258,SRID=4326;POINT(-9.397370 53.819058),SRID=4326;POINT(-9.381907 53.839417),2026-02-25 08:14:55
SID-00-000-000-000-000-320,SRID=4326;POINT(-97.205817 49.845157),SRID=4326;POINT(-97.183027 49.852388),2026-06-11 02:35:52
SID-00-000-000-000-000-110,SRID=4326;POINT(73.727660 19.968099),SRID=4326;POINT(73.747847 19.965864),2025-11-01 00:16:55
SID-00-000-000-000-000-223,SRID=4326;POINT(-8.931929 52.860935),SRID=4326;POINT(-8.959663 52.856574),2026-04-14 19:48:21
SID-00-000-000-000-000-069,SRID=4326;POINT(-85.041095 32.511288),SRID=4326;POINT(-85.010489 32.489928),2026-01-24 12:30:19
SID-00-000-000-000-000-114,SRID=4326;POINT(77.450318 23.290573),SRID=4326;POINT(77.428182 23.267032),2026-04-07 14:06:13
SID-00-000-000-000-000-269,SRID=4326;POINT(12.018998 54.093875),SRID=4326;POINT(12.014804 54.078017),2026-05-09 04:35:08
SID-00-000-000-000-000-196,SRID=4326;POINT(13.402484 52.500132),SRID=4326;POINT(13.362760 52.521044),2025-04-26 08:10:17
SID-00-000-000-000-000-345,SRID=4326;POINT(-66.612646 18.017177),SRID=4326;POINT(-66.619981 17.999503),2025-11-30 04:31:24
SID-00-000-000-000-000-185,SRID=4326;POINT(73.227940 22.312820),SRID=4326;POINT(73.200476 22.285359),2026-04-20 07:42:53
SID-00-000-000-000-000-022,SRID=4326;POINT(76.992257 8.511263),SRID=4326;POINT(76.974666 8.507508),2026-07-03 12:05:34
SID-00-000-000-000-000-372,SRID=4326;POINT(-8.457794 51.915257),SRID=4326;POINT(-8.417711 51.893615),2026-08-17 07:14:05
SID-00-000-000-000-000-006,SRID=4326;POINT(78.508517 17.397396),SRID=4326;POINT(78.515104 17.408695),2025-12-31 04:29:46
SID-00-000-000-000-000-149,SRID=4326;POINT(10.521879 52.324487),SRID=4326;POINT(10.484357 52.314225),2025-06-28 01:42:14
SID-00-000-000-000-000-144,SRID=4326;POINT(-6.724703 53.246477),SRID=4326;POINT(-6.726775 53.254274),2026-05-11 07:52:09
SID-00-000-000-000-000-305,SRID=4326;POINT(-74.588435 40.356279),SRID=4326;POINT(-74.603776 40.332883),2025-09-26 13:53:36
SID-00-000-000-000-000-140,SRID=4326;POINT(76.921582 8.449660),SRID=4326;POINT(76.931030 8.474210),2025-05-26 12:55:08
SID-00-000-000-000-000-388,SRID=4326;POINT(85.144852 25.537032),SRID=4326;POINT(85.165534 25.566665),2025-12-11 22:05:31
SID-00-000-000-000-000-194,SRID=4326;POINT(115.755431 -32.083469),SRID=4326;POINT(115.778738 -32.097003),2025-10-20 15:39:34
SID-00-000-000-000-000-112,SRID=4326;POINT(-6.669895 53.670960),SRID=4326;POINT(-6.677278 53.693490),2026-08-19 17:53:35
SID-00-000-000-000-000-040,SRID=4326;POINT(76.796458 30.759512),SRID=4326;POINT(76.801085 30.755579),2026-03-15 23:14:55
SID-00-000-000-000-000-178,SRID=4326;POINT(-99.990177 49.840899),SRID=4326;POINT(-99.994852 49.848613),2025-04-27 12:31:09
SID-00-000-000-000-000-165,SRID=4326;POINT(13.463993 52.547172),SRID=4326;POINT(13.467569 52.543033),2026-03-25 02:23:03
SID-00-000-000-000-000-224,SRID=4326;POINT(-74.016609 40.677451),SRID=4326;POINT(-74.017935 40.684548),2026-07-10 03:01:28
SID-00-000-000-000-000-233,SRID=4326;POINT(78.153732 9.870615),SRID=4326;POINT(78.169790 9.880234),2026-07-25 11:02:20
SID-00-000-000-000-000-059,SRID=4326;POINT(73.705859 24.633444),SRID=4326;POINT(73.734424 24.611959),2026-03-18 11:22:56
SID-00-000-000-000-000-282,SRID=4326;POINT(-82.595486 35.630483),SRID=4326;POINT(-82.593980 35.605966),2025-07-23 23:43:21
SID-00-000-000-000-000-254,SRID=4326;POINT(-73.615533 45.559957),SRID=4326;POINT(-73.599344 45.532271),2026-03-01 08:20:32
SID-00-000-000-000-000-248,SRID=4326;POINT(-7.141127 52.648122),SRID=4326;POINT(-7.163130 52.669836),2026-08-11 09:31:18
SID-00-000-000-000-000-145,SRID=4326;POINT(-76.198994 43.017423),SRID=4326;POINT(-76.208434 43.014351),2026-03-15 15:54:45
SID-00-000-000-000-000-161,SRID=4326;POINT(-119.463724 49.879509),SRID=4326;POINT(-119.429784 49.850746),2026-08-24 00:08:08
SID-00-000-000-000-000-325,SRID=4326;POINT(75.827504 30.853194),SRID=4326;POINT(75.828393 30.866549),2025-12-30 09:07:43
SID-00-000-000-000-000-310,SRID=4326;POINT(-78.843310 36.034957),SRID=4326;POINT(-78.870031 36.009483),2026-08-31 06:28:32
SID-00-000-000-000-000-061,SRID=4326;POINT(-71.477024 42.983780),SRID=4326;POINT(-71.465538 42.956571),2026-08-12 17:30:53
SID-00-000-000-000-000-314,SRID=4326;POINT(73.863346 15.522342),SRID=4326;POINT(73.848668 15.511954),2025-07-22 11:24:37
SID-00-000-000-000-000-240,SRID=4326;POINT(-122.201450 47.601579),SRID=4326;POINT(-122.181617 47.572858),2026-08-24 16:59:26
SID-00-000-000-000-000-204,SRID=4326;POINT(9.968324 53.548560),SRID=4326;POINT(9.946405 53.570688),2026-03-21 15:41:48
SID-00-000-000-000-000-393,SRID=4326;POINT(146.837269 -19.261355),SRID=4326;POINT(146.862488 -19.273082),2025-10-23 00:45:08
SID-00-000-000-000-000-098,SRID=4326;POINT(-108.598248 45.821696),SRID=4326;POINT(-108.566457 45.805085),2025-08-22 22:16:36
SID-00-000-000-000-000-024,SRID=4326;POINT(-105.228213 40.001222),SRID=4326;POINT(-105.220056 40.006793),2025-03-21 04:50:20
SID-00-000-000-000-000-266,SRID=4326;POINT(-72.606263 41.774684),SRID=4326;POINT(-72.629843 41.784018),2026-01-11 19:05:16
SID-00-000-000-000-000-373,SRID=4326;POINT(-103.247892 44.121566),SRID=4326;POINT(-103.239356 44.123990),2026-08-29 10:59:17
SID-00-000-000-000-000-084,SRID=4326;POINT(75.831661 30.838517),SRID=4326;POINT(75.861643 30.860595),2026-06-17 09:05:32
SID-00-000-000-000-000-055,SRID=4326;POINT(-91.449851 41.651656),SRID=4326;POINT(-91.464523 41.676276),2025-08-28 12:22:25
SID-00-000-000-000-000-356,SRID=4326;POINT(8.254420 50.081655),SRID=4326;POINT(8.220708 50.075168),2026-07-04 13:02:25
SID-00-000-000-000-000-079,SRID=4326;POINT(-73.609153 45.597894),SRID=4326;POINT(-73.647249 45.614804),2025-07-13 22:45:59
SID-00-000-000-000-000-230,SRID=4326;POINT(-92.265332 38.942580),SRID=4326;POINT(-92.290104 38.928067),2026-08-10 01:13:57
SID-00-000-000-000-000-288,SRID=4326;POINT(-71.260527 46.804959),SRID=4326;POINT(-71.223798 46.825909),2026-01-07 22:04:34
SID-00-000-000-000-000-136,SRID=4326;POINT(-104.673378 50.459928),SRID=4326;POINT(-104.631494 50.489089),2026-05-26 14:39:48
SID-00-000-000-000-000-337,SRID=4326;POINT(-75.686734 45.447692),SRID=4326;POINT(-75.715925 45.427218),2025-11-18 18:10:45
SID-00-000-000-000-000-176,SRID=4326;POINT(-121.289829 44.077706),SRID=4326;POINT(-121.280074 44.054250),2026-07-28 05:50:57
SID-00-000-000-000-000-257,SRID=4326;POINT(146.766093 -19.215285),SRID=4326;POINT(146.772846 -19.216014),2026-08-09 20:08:40
SID-00-000-000-000-000-253,SRID=4326;POINT(-72.894481 41.281073),SRID=4326;POINT(-72.917088 41.264344),2025-12-15 07:50:48
SID-00-000-000-000-000-293,SRID=4326;POINT(-81.983065 33.484992),SRID=4326;POINT(-82.017576 33.489103),2025-12-22 07:11:36
SID-00-000-000-000-000-002,SRID=4326;POINT(-106.527499 31.755849),SRID=4326;POINT(-106.521629 31.772366),2026-03-11 12:50:28
SID-00-000-000-000-000-154,SRID=4326;POINT(-89.102255 30.327667),SRID=4326;POINT(-89.080686 30.347630),2025-06-12 05:12:31
SID-00-000-000-000-000-368,SRID=4326;POINT(-86.820375 36.171275),SRID=4326;POINT(-86.789795 36.151234),2025-04-30 17:00:18
SID-00-000-000-000-000-359,SRID=4326;POINT(-94.332567 35.371401),SRID=4326;POINT(-94.363440 35.361473),2025-12-31 08:21:11
SID-00-000-000-000-000-191,SRID=4326;POINT(-111.870011 40.794118),SRID=4326;POINT(-111.883764 40.804884),2026-04-13 07:19:12
SID-00-000-000-000-000-091,SRID=4326;POINT(-92.213757 34.772592),SRID=4326;POINT(-92.246986 34.764418),2026-05-20 16:55:01
SID-00-000-000-000-000-209,SRID=4326;POINT(-78.568985 35.808742),SRID=4326;POINT(-78.582837 35.803095),2025-06-11 01:59:55
SID-00-000-000-000-000-189,SRID=4326;POINT(-97.405920 35.225442),SRID=4326;POINT(-97.386826 35.246591),2026-05-03 19:11:11
SID-00-000-000-000-000-076,SRID=4326;POINT(74.882034 12.964325),SRID=4326;POINT(74.877670 12.954844),2026-05-06 20:30:20
SID-00-000-000-000-000-063,SRID=4326;POINT(-83.804536 42.247497),SRID=4326;POINT(-83.783411 42.257167),2026-01-03 09:39:50
SID-00-000-000-000-000-003,SRID=4326;POINT(76.830468 30.742221),SRID=4326;POINT(76.833196 30.755317),2026-06-14 18:40:53
SID-00-000-000-000-000-389,SRID=4326;POINT(75.788216 26.943177),SRID=4326;POINT(75.805996 26.951296),2025-09-14 09:39:12
SID-00-000-000-000-000-034,SRID=4326;POINT(79.582287 17.963888),SRID=4326;POINT(79.562804 17.944974),2026-05-11 23:20:25
SID-00-000-000-000-000-261,SRID=4326;POINT(-104.779380 41.089705),SRID=4326;POINT(-104.792793 41.097755),2026-08-18 12:41:29
SID-00-000-000-000-000-285,SRID=4326;POINT(73.001528 26.242593),SRID=4326;POINT(73.010237 26.229467),2026-05-03 02:34:56
SID-00-000-000-000-000-119,SRID=4326;POINT(85.824021 20.335326),SRID=4326;POINT(85.812815 20.323936),2026-01-30 10:53:01
SID-00-000-000-000-000-198,SRID=4326;POINT(79.108620 21.134092),SRID=4326;POINT(79.083218 21.128883),2025-08-20 05:50:52
SID-00-000-000-000-000-350,SRID=4326;POINT(-111.613438 40.280946),SRID=4326;POINT(-111.600505 40.255975),2026-08-20 14:15:17
SID-00-000-000-000-000-183,SRID=4326;POINT(85.106913 25.572392),SRID=4326;POINT(85.108763 25.580149),2026-01-19 09:16:22
SID-00-000-000-000-000-086,SRID=4326;POINT(78.532059 17.379982),SRID=4326;POINT(78.531883 17.374303),2026-07-01 11:01:36
SID-00-000-000-000-000-333,SRID=4326;POINT(-123.057272 44.022779),SRID=4326;POINT(-123.030317 44.045191),2026-02-25 20:34:12
SID-00-000-000-000-000-107,SRID=4326;POINT(-83.732310 42.292289),SRID=4326;POINT(-83.738204 42.267794),2026-07-04 04:23:34
SID-00-000-000-000-000-312,SRID=4326;POINT(-82.587002 35.612059),SRID=4326;POINT(-82.575315 35.636807),2026-07-07 10:08:25
SID-00-000-000-000-000-168,SRID=4326;POINT(77.194024 28.649892),SRID=4326;POINT(77.188848 28.623494),2026-02-04 04:48:12
SID-00-000-000-000-000-058,SRID=4326;POINT(-89.266862 31.284079),SRID=4326;POINT(-89.296542 31.307309),2025-06-06 16:08:16
SID-00-000-000-000-000-167,SRID=4326;POINT(73.224609 22.280723),SRID=4326;POINT(73.233173 22.302520),2026-08-09 07:36:48
SID-00-000-000-000-000-351,SRID=4326;POINT(-71.142674 42.376157),SRID=4326;POINT(-71.125293 42.350170),2026-06-11 22:56:56
SID-00-000-000-000-000-210,SRID=4326;POINT(-85.668204 43.013777),SRID=4326;POINT(-85.647511 43.008766),2026-06-06 08:16:40
SID-00-000-000-000-000-156,SRID=4326;POINT(-111.013341 45.709156),SRID=4326;POINT(-110.997591 45.721096),2026-05-07 21:20:22
SID-00-000-000-000-000-300,SRID=4326;POINT(85.166118 25.562617),SRID=4326;POINT(85.171928 25.565449),2026-07-01 01:41:37
SID-00-000-000-000-000-319,SRID=4326;POINT(-115.002174 36.094195),SRID=4326;POINT(-115.015585 36.066532),2026-07-06 01:26:05
SID-00-000-000-000-000-021,SRID=4326;POINT(-90.054993 29.917951),SRID=4326;POINT(-90.054694 29.904099),2026-08-27 20:32:59
