org_id,org_name,street,city_name,state_id,zip_code,mission,web_url,phone,email,org_type,org_size,org_rating,is_collaborator,is_contributor,created_at,last_updated_at
ORG00001,Harbor Veterans Support,18196 Anthony Forge,North Judithbury,AK,30996,Own night respond red information last everything thank serve civil institution everyone democratic shake bill here grow gas enough.,https://www.harborveteranssuppor.org,(078) 161-8495,contact@harborveteranssuppor.org,Non-Profit,Small,5,FALSE,TRUE,2025-01-13 03:53:25,2025-01-29 03:53:25
ORG00002,Summit Community Foundation,16475 Mitchell Fords,North Donnaport,IN,88342,Reduce raise author play move each left establish understand read detail food shoulder argue.,https://www.summitcommunityfound.org,(056) 413-9537,,For-profit,Large,2,FALSE,TRUE,2024-07-31 05:09:50,2025-05-28 05:09:50
ORG00003,Northgate Education Fund,884 Hurst Locks,Thomasberg,WI,47948,Young catch management sense technology check civil quite others his other life.,https://www.northgateeducationfu.org,(480) 184-5146,contact@northgateeducationfu.org,Non-Profit,Medium,3,FALSE,TRUE,2023-12-27 08:29:26,2024-02-12 08:29:26
ORG00004,Harbor Family Services,148 Eric Track,Lake Nancyview,MN,21675,Well two truth out major born guy world southern dream drive note bad rule staff within mouth call process water close.,https://www.harborfamilyservices.org,(896) 383-4657,contact@harborfamilyservices.org,Non-Profit,Large,5,TRUE,FALSE,2025-11-03 10:50:27,2026-05-15 10:50:27
ORG00005,Maplewood Relief Network,0983 Adrian Station,Martinezbury,ME,83220,Director town teacher audience draw protect Democrat car very number line.,https://www.maplewoodreliefnetwo.org,(763) 116-5667,contact@maplewoodreliefnetwo.org,Non-Profit,Small,3,TRUE,FALSE,2025-10-01 18:42:58,2026-01-28 18:42:58
ORG00006,Harbor Senior Care Network,5133 Amanda Dam,Lake Deniseville,MO,55797,Everything economic type kitchen technology nearly anything yourself structure why unit support coach.,https://www.harborseniorcarenetw.org,(773) 602-6064,contact@harborseniorcarenetw.org,For-profit,Medium,3,FALSE,TRUE,2025-11-28 00:29:24,2026-05-18 00:29:24
ORG00007,Summit Education Fund,34309 Julie Centers Apt. 978,Mitchellside,RI,70116,Arm meet surface attention attack technology identify walk now often always.,https://www.summiteducationfund.org,(169) 985-4353,contact@summiteducationfund.org,Non-Profit,Small,3,TRUE,FALSE,2024-04-03 11:35:56,2025-03-19 11:35:56
ORG00008,Riverside Environmental Coalition,1079 Charles Forest Suite 251,Lake Debbie,IA,32519,Expect just myself few worker southern more property never use billion there.,https://www.riversideenvironment.org,(411) 824-4935,contact@riversideenvironment.org,For-profit,Large,5,TRUE,FALSE,2024-02-06 20:22:49,2024-05-24 20:22:49
ORG00009,Lakeside Veterans Support,64005 Dana Greens,Williamview,MT,21679,Necessary into act away third tough nation strong old challenge camera final together someone team together decide economic bill sister this image.,https://www.lakesideveteranssupp.org,(923) 226-0256,contact@lakesideveteranssupp.org,Non-Profit,Small,5,FALSE,TRUE,2025-08-06 12:36:21,2026-05-31 12:36:21
ORG00010,Golden Gate Family Services,0733 Bailey View,West Erik,IA,30332,Age cover foreign ten whom evidence political hundred wonder movie voice boy.,https://www.goldengatefamilyserv.org,(429) 401-9655,contact@goldengatefamilyserv.org,For-profit,Small,2,FALSE,TRUE,2024-09-06 10:32:10,2025-10-16 10:32:10
ORG00011,Hopewell Veterans Support,60883 Reynolds Shores Suite 951,South Rachelborough,RI,94840,Medical project for recent never court professor here security community notice image.,https://www.hopewellveteranssupp.org,(044) 369-9577,contact@hopewellveteranssupp.org,Non-Profit,Medium,5,TRUE,FALSE,2024-09-11 16:54:24,2025-08-25 16:54:24
ORG00012,Harbor Animal Rescue,148 Davis Terrace,New Thomas,UT,31285,Different current agency each little sure authority increase picture create recent manager during prevent accept seem show blood interesting.,https://www.harboranimalrescue.org,(287) 083-1727,contact@harboranimalrescue.org,For-profit,Large,3,TRUE,FALSE,2025-04-05 13:20:47,2025-06-24 13:20:47
ORG00013,Northgate Housing Trust,727 Green Gateway Suite 873,Stephaniemouth,WA,36493,Back experience even floor music catch discuss really relationship ask imagine my indeed deal information toward once receive.,https://www.northgatehousingtrus.org,(967) 054-6688,contact@northgatehousingtrus.org,Non-Profit,Medium,3,TRUE,FALSE,2025-08-04 08:43:46,2025-10-21 08:43:46
ORG00014,Oakwood Environmental Coalition,0656 Mary Crossroad Apt. 699,South Jeffrey,OH,87401,Base investment term consider employee force lawyer front they everything week instead.,https://www.oakwoodenvironmental.org,(170) 805-3100,contact@oakwoodenvironmental.org,For-profit,Small,1,FALSE,TRUE,2025-12-19 02:37:45,2026-07-31 02:37:45
ORG00015,Unity Senior Care Network,27193 Lyons Trafficway,Port Andrew,KS,48852,Paper white responsibility sing clearly find official up office.,https://www.unityseniorcarenetwo.org,(663) 193-1491,contact@unityseniorcarenetwo.org,For-profit,Large,4,FALSE,TRUE,2025-08-01 00:55:53,2026-04-30 00:55:53
ORG00016,Meadowbrook Legal Aid Society,506 Garcia Lake,West Amandastad,FL,83808,Religious itself safe whole establish space Mrs low itself room environmental system store beautiful think during let particular her agreement surface consider.,https://www.meadowbrooklegalaids.org,(354) 549-4808,contact@meadowbrooklegalaids.org,Non-Profit,Large,2,TRUE,FALSE,2025-12-17 16:40:36,2026-06-17 16:40:36
ORG00017,Liberty Education Fund,777 Christopher Forges,East Jenniferfort,TX,53506,Fill ok list most international second former reflect even edge building court build movie several.,https://www.libertyeducationfund.org,(233) 749-8941,contact@libertyeducationfund.org,For-profit,Large,2,TRUE,FALSE,2025-09-03 06:43:41,2026-02-23 06:43:41
ORG00018,Sunrise Community Foundation,82400 Terry Crossroad Suite 109,Jeremyburgh,OK,37769,Long future whole education technology box assume man officer rather charge specific we be easy newspaper indicate other.,https://www.sunrisecommunityfoun.org,(938) 677-4964,,For-profit,Large,2,TRUE,FALSE,2025-01-05 04:43:02,2026-04-13 04:43:02
ORG00019,Cedar Valley Community Foundation,341 John Plaza,New Susanville,CA,10339,Able late order fact discuss religious reflect law reach under skin person product value interesting name.,https://www.cedarvalleycommunity.org,(242) 102-4994,contact@cedarvalleycommunity.org,Non-Profit,Large,5,TRUE,FALSE,2024-09-08 23:01:01,2025-01-10 23:01:01
ORG00020,Lakeside Legal Aid Society,877 Carly Meadows Suite 940,Barkerfurt,NE,12471,While structure offer week yourself public especially American series like prepare trouble consider.,,(967) 175-6551,contact@lakesidelegalaidsoci.org,Non-Profit,Large,4,TRUE,FALSE,2025-09-26 04:56:36,2025-10-23 04:56:36
ORG00021,Harbor Veterans Support,680 Miller Glen Suite 168,Robertfort,AR,00651,Left approach million performance material kind appear environment capital explain thing machine ahead picture son report financial add impact different success box water.,https://www.harborveteranssuppor.org,(274) 846-7737,contact@harborveteranssuppor.org,Non-Profit,Large,2,TRUE,FALSE,2024-12-20 08:08:43,2025-09-20 08:08:43
ORG00022,Meadowbrook Housing Trust,46584 Justin Hills,Leehaven,NV,77432,Your majority chance Mrs generation necessary myself lay focus country recently occur do simply analysis seat relate specific.,https://www.meadowbrookhousingtr.org,(627) 028-9517,contact@meadowbrookhousingtr.org,Non-Profit,Large,5,TRUE,FALSE,2023-11-03 23:32:24,2023-11-28 23:32:24
ORG00023,Maplewood Veterans Support,217 Morgan Square Suite 158,Smithberg,AL,50309,Phone thought maintain must pay doctor range explain dinner bed within set region.,https://www.maplewoodveteranssup.org,(172) 400-5045,contact@maplewoodveteranssup.org,For-profit,Medium,4,TRUE,FALSE,2024-07-12 05:29:45,2024-10-29 05:29:45
ORG00024,Liberty Senior Care Network,21969 Tyler Prairie,East Amanda,AR,19259,Leave effect effort act source top quality citizen kid generation onto police.,https://www.libertyseniorcarenet.org,(647) 436-7136,contact@libertyseniorcarenet.org,For-profit,Large,3,FALSE,TRUE,2025-01-08 04:53:38,2025-12-30 04:53:38
ORG00025,Maplewood Animal Rescue,640 Renee Summit,Victoriaport,TX,65608,Simply discover soon despite couple economy sense should race carry best physical always small almost half capital travel.,https://www.maplewoodanimalrescu.org,(562) 328-5884,contact@maplewoodanimalrescu.org,Non-Profit,Large,3,FALSE,TRUE,2025-09-01 07:28:52,2025-09-26 07:28:52
ORG00026,Lakeside Food Bank,517 Donald Fork Suite 851,Robinfort,NC,52218,Enough buy happy see energy herself police he push likely people wall.,https://www.lakesidefoodbank.org,(593) 174-6120,contact@lakesidefoodbank.org,Non-Profit,Large,1,FALSE,TRUE,2025-12-16 01:12:13,2026-06-06 01:12:13
ORG00027,Silverline Senior Care Network,82675 Matthews Stream,Wendyville,MT,20754,Pressure street past voice evidence real describe know door guy wonder happen top population.,https://www.silverlineseniorcare.org,(064) 317-1390,contact@silverlineseniorcare.org,For-profit,Small,5,TRUE,FALSE,2023-09-20 02:41:52,2024-04-21 02:41:52
ORG00028,Sunrise Veterans Support,83933 Schroeder Turnpike,Johnberg,OR,78617,Everyone worker would music sometimes body term capital group small open administration.,https://www.sunriseveteranssuppo.org,(402) 681-1775,contact@sunriseveteranssuppo.org,For-profit,Large,2,TRUE,FALSE,2024-11-15 14:42:45,2025-06-05 14:42:45
ORG00029,Unity Youth Alliance,0076 Parks Overpass Suite 115,South Williamton,NJ,80231,Assume every plan nature foot yes most law painting between reduce table prepare.,https://www.unityyouthalliance.org,(836) 736-5766,contact@unityyouthalliance.org,Non-Profit,Large,5,FALSE,TRUE,2025-06-01 04:57:01,2025-07-08 04:57:01
ORG00030,Pinecrest Arts Collective,71111 Davis Streets Suite 280,Ronaldview,NC,77370,No prove improve them wait institution trouble anything explain fine billion medical choice lot suggest glass news boy everything difficult.,https://www.pinecrestartscollect.org,(689) 980-9402,contact@pinecrestartscollect.org,For-profit,Large,3,FALSE,TRUE,2024-04-10 11:23:28,2024-06-29 11:23:28
