req_id,creator_id,req_for_id,req_islead_id,req_cat_id,req_type_id,req_priority_id,req_status_id,req_loc,iscalamity,req_subj,req_desc,req_doc_link,audio_req_desc,submission_date,serviced_date,last_updated_at,to_public,beneficiary_id,lead_volunteer_id,deletion_reason
REQ-000001,SID-00-000-826-669,1,3,CAT-OTHER,3,4,3,"Suffolk, VA",FALSE,Help with rent this month,Requesting recurring support until situation stabilizes.,,,2026-05-28 18:00:00,2026-06-06 18:00:00,2026-06-03 01:15:47.000,TRUE,SID-00-000-000-091,SID-00-000-913-558,
REQ-000002,SID-00-000-183-754,6,2,CAT-FOOD,3,3,3,"Chesapeake, VA",FALSE,Childcare for a few hours,Family lost primary income source and needs short-term support.,,,2026-01-04 10:00:00,2026-01-08 10:00:00,2026-01-05 19:05:32.000,TRUE,SID-00-000-000-312,SID-00-000-797-944,
REQ-000003,SID-00-000-000-078,8,2,CAT-OTHER,3,3,5,"Norfolk, VA",FALSE,Companionship visit for elderly parent,Household requesting help understanding paperwork.,,s3://saayam-virginia-private/requests/REQ-000003/audio.mp3,2026-02-13 15:00:00,,2026-02-19 22:26:58.000,FALSE,SID-00-000-000-086,SID-00-000-000-097,
REQ-000004,SID-00-000-346-021,8,3,CAT-HOME_REPAIR,2,2,5,"Blacksburg, VA",FALSE,Utility bill assistance,Elderly resident unable to drive to appointments.,,,2025-11-30 15:00:00,,2025-12-16 00:49:44.000,TRUE,SID-00-000-746-055,SID-00-000-000-383,
REQ-000005,SID-00-000-000-084,1,2,CAT-MEDICAL,4,3,4,"Newport News, VA",FALSE,Utility bill assistance,Household requesting help understanding paperwork.,,,2025-11-15 01:00:00,2025-11-26 01:00:00,2025-12-24 18:40:47.000,TRUE,SID-00-000-000-079,SID-00-000-576-102,
REQ-000006,SID-00-000-826-669,1,2,CAT-ELDERCARE,1,3,2,"Arlington, VA",FALSE,Food pantry pickup,Household requesting help understanding paperwork.,,,2025-12-30 03:00:00,,2026-02-04 23:13:04.000,TRUE,SID-00-000-948-771,SID-00-000-000-371,
REQ-000007,SID-00-000-947-952,5,2,CAT-TRANSPORT,4,4,3,"Roanoke, VA",FALSE,Help with rent this month,Urgent request due to upcoming deadline.,,,2025-10-25 21:00:00,2025-11-13 21:00:00,2025-11-23 19:04:26.000,TRUE,SID-00-000-826-669,SID-00-000-060-168,
REQ-000008,SID-00-000-273-787,8,1,CAT-EDUCATION,2,1,6,"Lynchburg, VA",FALSE,Wheelchair ramp installation,Single parent juggling work and childcare needs occasional help.,,,2025-12-27 17:00:00,,2026-01-06 16:39:17.000,TRUE,SID-00-000-284-464,SID-00-000-000-094,
REQ-000009,SID-00-000-000-357,5,3,CAT-FINANCIAL,5,3,5,"Suffolk, VA",FALSE,Wheelchair ramp installation,Family lost primary income source and needs short-term support.,,,2026-08-14 00:00:00,,2026-08-17 13:30:37.000,TRUE,SID-00-000-913-558,SID-00-000-000-086,
REQ-000010,SID-00-000-000-307,5,3,CAT-FOOD,5,3,4,"Danville, VA",FALSE,Job application help,"Storm damage left yard unsafe, needs debris cleared.",,,2026-03-19 22:00:00,2026-03-21 22:00:00,2026-04-07 12:03:25.000,TRUE,SID-00-000-000-310,SID-00-000-000-094,
REQ-000011,SID-00-000-760-566,7,3,CAT-EDUCATION,1,3,1,"Lynchburg, VA",FALSE,Translation assistance needed,Household requesting help understanding paperwork.,,,2026-04-02 17:00:00,,2026-05-06 09:34:26.000,TRUE,SID-00-000-000-105,SID-00-000-000-311,
REQ-000012,SID-00-000-000-106,4,3,CAT-HOUSING,2,1,3,"Roanoke, VA",FALSE,Wheelchair ramp installation,Elderly resident unable to drive to appointments.,s3://saayam-virginia-private/requests/REQ-000012/doc.pdf,,2025-09-18 01:00:00,2025-09-21 01:00:00,2025-09-28 11:13:41.000,FALSE,SID-00-000-000-079,SID-00-000-060-168,Requester withdrew
REQ-000013,SID-00-000-408-687,3,2,CAT-FOOD,4,4,1,"Chesapeake, VA",FALSE,Home repair help,Household requesting help understanding paperwork.,,,2026-05-07 09:00:00,,2026-05-29 16:41:01.000,TRUE,SID-00-000-000-310,SID-00-000-000-308,
REQ-000014,SID-00-000-000-086,5,1,CAT-OTHER,3,4,3,"Danville, VA",FALSE,Childcare for a few hours,Requesting recurring support until situation stabilizes.,s3://saayam-virginia-private/requests/REQ-000014/doc.pdf,,2025-09-14 18:00:00,2025-10-03 18:00:00,2025-09-25 02:55:30.000,TRUE,SID-00-000-000-098,SID-00-000-234-069,
REQ-000015,SID-00-000-996-944,5,3,CAT-FINANCIAL,1,3,3,"Richmond, VA",FALSE,Furniture donation needed,Household requesting help understanding paperwork.,s3://saayam-virginia-private/requests/REQ-000015/doc.pdf,s3://saayam-virginia-private/requests/REQ-000015/audio.mp3,2026-03-02 03:00:00,2026-03-13 03:00:00,2026-03-25 22:21:41.000,TRUE,SID-00-000-621-433,,
REQ-000016,SID-00-000-000-095,1,2,CAT-HOME_REPAIR,4,1,1,"Charlottesville, VA",FALSE,Help with rent this month,Urgent request due to upcoming deadline.,s3://saayam-virginia-private/requests/REQ-000016/doc.pdf,,2025-09-23 07:00:00,,2025-09-24 20:01:30.000,FALSE,SID-00-000-000-081,,
REQ-000017,SID-00-000-682-105,5,3,CAT-ELDERCARE,2,2,2,"Alexandria, VA",FALSE,Ride to medical appointment,Urgent request due to upcoming deadline.,,s3://saayam-virginia-private/requests/REQ-000017/audio.mp3,2026-07-09 21:00:00,,2026-07-14 21:19:54.000,TRUE,SID-00-000-000-106,SID-00-000-826-669,
REQ-000018,SID-00-000-305-861,8,3,CAT-HOUSING,1,2,5,"Norfolk, VA",FALSE,Job application help,Requesting recurring support until situation stabilizes.,,,2026-04-10 22:00:00,,2026-04-16 09:03:54.000,TRUE,SID-00-000-408-687,SID-00-000-000-364,
REQ-000019,SID-00-000-440-130,1,1,CAT-ELDERCARE,1,2,1,"Blacksburg, VA",FALSE,Utility bill assistance,Family lost primary income source and needs short-term support.,,,2025-12-28 19:00:00,,2026-01-18 12:53:58.000,TRUE,SID-00-000-634-083,SID-00-000-000-090,
REQ-000020,SID-00-000-440-130,4,2,CAT-ELDERCARE,2,2,3,"Hampton, VA",FALSE,Tutoring for my child,"One-time assistance needed, no ongoing support required.",s3://saayam-virginia-private/requests/REQ-000020/doc.pdf,,2025-09-11 16:00:00,2025-09-24 16:00:00,2025-09-20 02:23:01.000,TRUE,SID-00-000-000-383,SID-00-000-408-687,
REQ-000021,SID-00-000-000-312,6,2,CAT-MEDICAL,3,3,6,"Blacksburg, VA",FALSE,Wheelchair ramp installation,Elderly resident unable to drive to appointments.,s3://saayam-virginia-private/requests/REQ-000021/doc.pdf,,2026-01-01 03:00:00,,2026-01-24 19:39:47.000,TRUE,SID-00-000-826-669,,Duplicate request
REQ-000022,SID-00-000-000-310,3,3,CAT-HOUSING,5,1,1,"Danville, VA",FALSE,Job application help,Urgent request due to upcoming deadline.,s3://saayam-virginia-private/requests/REQ-000022/doc.pdf,,2026-06-03 04:00:00,,2026-07-06 11:11:15.000,TRUE,SID-00-000-255-895,,
REQ-000023,SID-00-000-797-944,5,2,CAT-TRANSPORT,3,2,4,"Charlottesville, VA",FALSE,Tutoring for my child,Single parent juggling work and childcare needs occasional help.,s3://saayam-virginia-private/requests/REQ-000023/doc.pdf,,2025-08-09 04:00:00,2025-08-22 04:00:00,2025-08-30 21:03:55.000,FALSE,SID-00-000-913-558,SID-00-000-000-104,
REQ-000024,SID-00-000-440-130,4,2,CAT-FOOD,4,3,1,"Arlington, VA",FALSE,Utility bill assistance,Urgent request due to upcoming deadline.,,,2025-11-14 06:00:00,,2025-12-09 16:59:42.000,FALSE,SID-00-000-574-009,,
