state_id,country_id,state_name,state_code,last_update_date
AL,1,Alabama,US-AL,2025-08-08 00:00:00
AK,1,Alaska,US-AK,2026-02-01 00:00:00
AZ,1,Arizona,US-AZ,2025-05-27 00:00:00
AR,1,Arkansas,US-AR,2024-09-07 00:00:00
CA,1,California,US-CA,2026-05-17 00:00:00
CO,1,Colorado,US-CO,2026-04-22 00:00:00
CT,1,Connecticut,US-CT,2024-03-17 00:00:00
DE,1,Delaware,US-DE,2025-01-03 00:00:00
DC,1,District of Columbia,US-DC,2026-03-31 00:00:00
FL,1,Florida,US-FL,2025-06-26 00:00:00
GA,1,Georgia,US-GA,2024-11-16 00:00:00
HI,1,Hawaii,US-HI,2026-05-07 00:00:00
ID,1,Idaho,US-ID,2025-02-01 00:00:00
IL,1,Illinois,US-IL,2025-11-28 00:00:00
IN,1,Indiana,US-IN,2026-05-28 00:00:00
IA,1,Iowa,US-IA,2026-04-08 00:00:00
KS,1,Kansas,US-KS,2025-04-17 00:00:00
KY,1,Kentucky,US-KY,2025-05-03 00:00:00
LA,1,Louisiana,US-LA,2026-04-25 00:00:00
ME,1,Maine,US-ME,2025-11-01 00:00:00
MD,1,Maryland,US-MD,2026-04-04 00:00:00
MA,1,Massachusetts,US-MA,2024-12-18 00:00:00
MI,1,Michigan,US-MI,2025-04-27 00:00:00
MN,1,Minnesota,US-MN,2026-05-06 00:00:00
MS,1,Mississippi,US-MS,2024-03-11 00:00:00
MO,1,Missouri,US-MO,2024-12-03 00:00:00
MT,1,Montana,US-MT,2026-03-01 00:00:00
NE,1,Nebraska,US-NE,2025-11-19 00:00:00
NV,1,Nevada,US-NV,2024-09-28 00:00:00
NH,1,New Hampshire,US-NH,2024-10-01 00:00:00
NJ,1,New Jersey,US-NJ,2024-11-16 00:00:00
NM,1,New Mexico,US-NM,2026-05-03 00:00:00
NY,1,New York,US-NY,2024-11-22 00:00:00
NC,1,North Carolina,US-NC,2024-11-13 00:00:00
ND,1,North Dakota,US-ND,2025-05-25 00:00:00
OH,1,Ohio,US-OH,2026-05-16 00:00:00
OK,1,Oklahoma,US-OK,2025-11-21 00:00:00
OR,1,Oregon,US-OR,2026-05-19 00:00:00
PA,1,Pennsylvania,US-PA,2024-12-12 00:00:00
RI,1,Rhode Island,US-RI,2026-02-19 00:00:00
SC,1,South Carolina,US-SC,2025-09-12 00:00:00
SD,1,South Dakota,US-SD,2025-05-02 00:00:00
TN,1,Tennessee,US-TN,2026-02-08 00:00:00
TX,1,Texas,US-TX,2024-12-29 00:00:00
UT,1,Utah,US-UT,2026-03-07 00:00:00
VT,1,Vermont,US-VT,2024-11-28 00:00:00
VA,1,Virginia,US-VA,2025-08-24 00:00:00
WA,1,Washington,US-WA,2024-12-09 00:00:00
WV,1,West Virginia,US-WV,2024-03-22 00:00:00
WI,1,Wisconsin,US-WI,2024-08-06 00:00:00
WY,1,Wyoming,US-WY,2026-01-01 00:00:00
