user_id,prev_loc,curr_loc,last_updated_at
SID-00-000-654-114,SRID=4326;POINT(-76.7843 38.000641),SRID=4326;POINT(-76.864132 38.063753),2026-07-05 06:30:48.000
SID-00-000-913-558,,SRID=4326;POINT(-82.680147 38.468011),2026-04-25 02:40:43.000
SID-00-000-027-574,SRID=4326;POINT(-79.27806 37.385811),SRID=4326;POINT(-79.411618 37.281913),2026-05-18 14:26:31.000
SID-00-000-828-890,SRID=4326;POINT(-83.185415 39.45),SRID=4326;POINT(-83.08069 39.445496),2026-07-01 23:09:48.000
SID-00-000-099-367,,SRID=4326;POINT(-75.624181 38.170786),2026-08-21 00:00:00.000
SID-00-000-996-944,SRID=4326;POINT(-78.134311 38.983682),SRID=4326;POINT(-78.266244 39.109123),2026-07-09 08:24:25.000
SID-00-000-591-196,SRID=4326;POINT(-82.291587 39.45),SRID=4326;POINT(-82.41758 39.439346),2026-05-11 01:41:16.000
SID-00-000-284-464,SRID=4326;POINT(-83.030712 37.585752),SRID=4326;POINT(-83.168564 37.629359),2026-07-29 00:45:49.000
SID-00-000-959-699,,SRID=4326;POINT(-76.353965 38.795687),2026-08-21 00:00:00.000
SID-00-000-655-704,SRID=4326;POINT(-79.114296 39.256597),SRID=4326;POINT(-79.200237 39.326437),2026-05-30 01:16:34.000
SID-00-000-032-824,SRID=4326;POINT(-79.206061 38.87812),SRID=4326;POINT(-79.148344 38.953068),2026-05-26 15:13:32.000
SID-00-000-322-217,SRID=4326;POINT(-82.86362 37.129829),SRID=4326;POINT(-82.814153 37.045109),2026-05-10 04:42:15.000
SID-00-000-252-762,SRID=4326;POINT(-77.472712 36.55),SRID=4326;POINT(-77.382199 36.605724),2026-06-16 00:53:47.000
SID-00-000-224-141,SRID=4326;POINT(-77.619598 38.756083),SRID=4326;POINT(-77.627173 38.719766),2026-05-07 07:22:10.000
SID-00-000-811-696,SRID=4326;POINT(-75.750536 38.051113),SRID=4326;POINT(-75.655522 37.956177),2026-05-20 08:57:28.000
SID-00-000-994-566,,SRID=4326;POINT(-76.023401 38.511299),2026-08-21 00:00:00.000
SID-00-000-273-787,SRID=4326;POINT(-75.788661 38.749147),SRID=4326;POINT(-75.916449 38.884314),2026-05-18 13:32:32.000
SID-00-000-896-736,SRID=4326;POINT(-78.234735 38.855441),SRID=4326;POINT(-78.110281 38.982936),2026-07-29 05:59:53.000
SID-00-000-305-861,SRID=4326;POINT(-75.73665 37.292727),SRID=4326;POINT(-75.601415 37.202315),2026-08-21 00:00:00.000
SID-00-000-797-944,SRID=4326;POINT(-79.554353 37.693732),SRID=4326;POINT(-79.537871 37.689032),2026-07-31 17:37:51.000
SID-00-000-899-851,,SRID=4326;POINT(-80.942656 37.214277),2026-08-21 00:00:00.000
