volunteer_rating_id,user_id,req_id,rating,feedback,last_updated_at
1,SID-00-000-000-333,REQ-000015,EXCELLENT,,2026-04-27 20:55:11.000
2,SID-00-000-000-364,REQ-000020,EXCELLENT,Friendly and professional throughout the interaction.,2026-03-19 23:09:11.000
3,SID-00-000-000-094,REQ-000010,GOOD,Did not fully complete the requested task.,2026-02-07 06:20:36.000
4,SID-00-000-811-696,REQ-000004,AVERAGE,Did not fully complete the requested task.,2026-05-21 04:51:19.000
5,SID-00-000-996-944,REQ-000007,EXCELLENT,Communicated clearly and followed up as promised.,2026-03-16 20:47:30.000
6,SID-00-000-322-217,REQ-000022,POOR,Communicated clearly and followed up as promised.,2026-04-12 13:08:10.000
7,SID-00-000-273-787,REQ-000022,BELOW_AVERAGE,,2026-02-27 03:06:03.000
8,SID-00-000-691-882,REQ-000018,POOR,Extremely knowledgeable and patient with our questions.,2026-07-03 07:31:43.000
9,SID-00-000-000-371,REQ-000005,EXCELLENT,Extremely knowledgeable and patient with our questions.,2026-03-16 02:20:27.000
10,SID-00-000-440-130,REQ-000022,AVERAGE,Arrived late but did a great job once there.,2026-01-01 05:19:15.000
11,SID-00-000-826-416,REQ-000008,BELOW_AVERAGE,Extremely knowledgeable and patient with our questions.,2025-12-16 03:53:50.000
12,SID-00-000-000-340,REQ-000017,AVERAGE,Very punctual and helpful throughout the visit.,2026-04-22 01:12:34.000
13,SID-00-000-900-250,REQ-000021,AVERAGE,Communicated clearly and followed up as promised.,2026-02-11 23:02:34.000
14,SID-00-000-000-083,REQ-000003,GOOD,Very punctual and helpful throughout the visit.,2026-08-12 02:57:26.000
15,SID-00-000-797-944,REQ-000010,AVERAGE,Did not fully complete the requested task.,2026-01-17 06:33:24.000
16,SID-00-000-000-106,REQ-000004,AVERAGE,,2026-02-17 00:21:40.000
17,SID-00-000-000-087,REQ-000006,GOOD,Communicated clearly and followed up as promised.,2025-12-15 20:42:08.000
18,SID-00-000-000-061,REQ-000023,AVERAGE,,2026-06-26 12:24:48.000
19,SID-00-000-996-944,REQ-000008,POOR,,2026-06-18 11:26:23.000
20,SID-00-000-760-566,REQ-000014,EXCELLENT,Went above and beyond to help our family.,2026-04-11 08:44:43.000
21,SID-00-000-913-558,REQ-000001,AVERAGE,,2026-08-11 14:56:58.000
22,SID-00-000-305-861,REQ-000004,EXCELLENT,Was polite but could have been more proactive.,2026-05-16 15:41:41.000
23,SID-00-000-545-784,REQ-000023,BELOW_AVERAGE,Communicated clearly and followed up as promised.,2026-07-23 15:14:14.000
24,SID-00-000-576-102,REQ-000022,BELOW_AVERAGE,Friendly and professional throughout the interaction.,2025-10-27 18:28:19.000
25,SID-00-000-882-111,REQ-000001,GOOD,Arrived late but did a great job once there.,2025-12-12 18:33:02.000
