"country_id","country_name","phone_code","country_code","last_update_date","is_eu_member"
1,"AFGHANISTAN","93","AFG",NULL,False
2,"ALAND_ISLANDS","358","ALA",NULL,False
3,"ALBANIA","355","ALB",NULL,False
4,"ALGERIA","213","DZA",NULL,False
5,"AMERICAN_SAMOA","1-684","ASM",NULL,False
6,"ANDORRA","376","AND",NULL,False
7,"ANGOLA","244","AGO",NULL,False
8,"ANGUILLA","1-264","AIA",NULL,False
9,"ANTARCTICA","672","ATA",NULL,False
10,"ANTIGUA_AND_BARBUDA","1-268","ATG",NULL,False
11,"ARGENTINA","54","ARG",NULL,False
12,"ARMENIA","374","ARM",NULL,False
13,"ARUBA","297","ABW",NULL,False
14,"AUSTRALIA","61","AUS",NULL,False
15,"AUSTRIA","43","AUT",NULL,True
16,"AZERBAIJAN","994","AZE",NULL,False
17,"BAHAMAS","1-242","BHS",NULL,False
18,"BAHRAIN","973","BHR",NULL,False
19,"BANGLADESH","880","BGD",NULL,False
20,"BARBADOS","1-246","BRB",NULL,False
21,"BELARUS","375","BLR",NULL,False
22,"BELGIUM","32","BEL",NULL,True
23,"BELIZE","501","BLZ",NULL,False
24,"BENIN","229","BEN",NULL,False
25,"BERMUDA","1-441","BMU",NULL,False
26,"BHUTAN","975","BTN",NULL,False
27,"BOLIVIA","591","BOL",NULL,False
28,"BOSNIA_AND_HERZEGOVINA","387","BIH",NULL,False
29,"BOTSWANA","267","BWA",NULL,False
30,"BOUVET_ISLAND","47","BVT",NULL,False
31,"BRAZIL","55","BRA",NULL,False
32,"BRITISH_VIRGIN_ISLANDS","1-284","VGB",NULL,False
33,"BRUNEI_DARUSSALAM","673","BRN",NULL,False
34,"BULGARIA","359","BGR",NULL,True
35,"BURKINA_FASO","226","BFA",NULL,False
36,"BURUNDI","257","BDI",NULL,False
37,"CAMBODIA","855","KHM",NULL,False
38,"CAMEROON","237","CMR",NULL,False
39,"CANADA","1","CAN",NULL,False
40,"CAPE_VERDE","238","CV",NULL,False
41,"CAYMAN_ISLANDS","1-345","CYM",NULL,False
42,"CENTRAL_AFRICAN_REPUBLIC","236","CAF",NULL,False
43,"CHAD","235","TCD",NULL,False
44,"CHILE","56","CHL",NULL,False
45,"CHINA","86","CHN",NULL,False
47,"MACAO_SAR_CHINA","853","MO",NULL,False
48,"COLOMBIA","57","COL",NULL,False
49,"COMOROS","269","COM",NULL,False
50,"CONGO_(BRAZZAVILLE)","242","CG",NULL,False
51,"CONGO_(KINSHASA)","243","CD",NULL,False
52,"COOK_ISLANDS","682","COK",NULL,False
53,"COSTA_RICA","506","CRI",NULL,False
54,"IVORY_COAST","225","CIV",NULL,False
55,"CROATIA","385","HRV",NULL,True
56,"CUBA","53","CUB",NULL,False
57,"CYPRUS","357","CYP",NULL,True
58,"CZECH_REPUBLIC","420","CZE",NULL,False
59,"DENMARK","45","DNK",NULL,True
60,"DJIBOUTI","253","DJI",NULL,False
61,"DOMINICA","1-767","DMA",NULL,False
62,"DOMINICAN_REPUBLIC","1-829","DOM",NULL,False
63,"EAST_TIMOR","670","TL",NULL,False
64,"ECUADOR","593","ECU",NULL,False
65,"EGYPT","20","EGY",NULL,False
66,"EL_SALVADOR","503","SLV",NULL,False
67,"EQUATORIAL_GUINEA","240","GNQ",NULL,False
68,"ERITREA","291","ERI",NULL,False
69,"ESTONIA","372","EST",NULL,True
70,"ETHIOPIA","251","ETH",NULL,False
