"parent_id","child_id"
NULL,"0.0.0.0.0"
"0.0.0.0.0","1"
"1","1.1"
"1","1.2"
"1","1.3"
"1.3","1.3.1"
"1.3","1.3.2"
"1.3","1.3.3"
"1.3","1.3.4"
"1.3","1.3.5"
"0.0.0.0.0","2"
"2","2.1"
"2","2.2"
"2","2.3"
"2","2.4"
"0.0.0.0.0","3"
"3","3.1"
"3","3.10"
"3","3.2"
"3","3.3"
"3.3","3.3.1"
"3.3","3.3.10"
"3.3","3.3.11"
"3.3","3.3.12"
"3.3","3.3.13"
"3.3","3.3.2"
"3.3","3.3.3"
"3.3","3.3.4"
"3.3","3.3.5"
"3.3","3.3.6"
"3.3","3.3.7"
"3.3","3.3.8"
"3.3","3.3.9"
"3","3.4"
"3","3.5"
"3","3.6"
"3","3.7"
"3","3.8"
"3","3.9"
"0.0.0.0.0","4"
"4","4.1"
"4","4.2"
"4","4.3"
"4.3","4.3.1"
"4.3","4.3.2"
"4.3","4.3.3"
"4.3","4.3.4"
"4.3","4.3.5"
"4.3","4.3.6"
"4","4.4"
"4","4.5"
"4","4.6"
"4","4.7"
"0.0.0.0.0","5"
"5","5.1"
"5.1","5.1.1"
"5.1","5.1.10"
"5.1","5.1.11"
"5.1","5.1.2"
"5.1","5.1.3"
"5.1","5.1.4"
"5.1","5.1.5"
"5.1","5.1.6"
"5.1","5.1.7"
"5.1","5.1.8"
"5.1","5.1.9"
"5","5.2"
"5","5.3"
"5","5.4"
"5","5.5"
"0.0.0.0.0","6"
"6","6.1"
"6","6.2"
"6","6.3"
"6","6.4"
"6","6.5"
"6","6.6"
"6","6.7"
"6","6.8"
"6","6.9"
