"item_id","field_id","item_value","item_type"
"1.1.A.1","1.1.A","VEGETARIAN","radiobutton"
"1.1.A.2","1.1.A","VEGAN","radiobutton"
"1.1.A.3","1.1.A","NON_VEGETARIAN","radiobutton"
"1.1.A.4","1.1.A","GLUTEN_FREE","radiobutton"
"1.1.A.5","1.1.A","OTHER","radiobutton"
"1.1.B.1","1.1.B","DIABETIC_FRIENDLY","checkbox"
"1.1.B.2","1.1.B","KOSHER_HALAL","checkbox"
"1.1.B.3","1.1.B","NUT_FREE","checkbox"
"1.1.B.4","1.1.B","LACTOSE_FREE","checkbox"
"1.1.B.5","1.1.B","NONE","checkbox"
"1.1.B.6","1.1.B","OTHER","checkbox"
"1.2.B.1","1.2.B","MORNING_8AM_TO_12PM","radiobutton"
"1.2.B.2","1.2.B","AFTERNOON_12PM _TO_5PM","radiobutton"
"1.2.B.3","1.2.B","EVENING_5PM_TO_9PM","radiobutton"
"1.2.C.1","1.2.C","VOLUNTEER_PURCHASE_REIMBURSE","radiobutton"
"1.2.C.2","1.2.C","GIFT_CARD_VOUCHER","radiobutton"
"1.2.C.3","1.2.C","ORGANIZATION_SPONSORED","radiobutton"
"1.2.C.4","1.2.C","FREE_ASSISTANCE","radiobutton"
"1.2.D.1","1.2.D","IMMEDIATE_NEXT_24HRS","radiobutton"
"1.2.D.2","1.2.D","WITHIN_3_DAYS","radiobutton"
"1.2.D.3","1.2.D","WITHIN_1_WEEK","radiobutton"
"1.2.D.4","1.2.D","FLEXIBLE","radiobutton"
"1.3.1.A.1","1.3.1.A","VEGETARIAN","radiobutton"
"1.3.1.A.2","1.3.1.A","VEGAN","radiobutton"
"1.3.1.A.3","1.3.1.A","HIGH_PROTEIN","radiobutton"
"1.3.1.A.4","1.3.1.A","LOW_CARB","radiobutton"
"1.3.1.A.5","1.3.1.A","CULTURALLY_SPECIFIC","radiobutton"
"1.3.1.B.1","1.3.1.B","STOVE_OR_COOKTOP","checkbox"
"1.3.1.B.2","1.3.1.B","OVEN_OR_MICROWAVE","checkbox"
"1.3.1.B.3","1.3.1.B","UTENSILS_OR_COOKWARE_SET","checkbox"
"1.3.1.B.4","1.3.1.B","MIXER_OR_BLENDER","checkbox"
"1.3.1.B.5","1.3.1.B","NONE","checkbox"
"1.3.1.C.1","1.3.1.C","IMMEDIATE_NEXT_24_HOURS","radiobutton"
"1.3.1.C.2","1.3.1.C","WITHIN_3_DAYS","radiobutton"
"1.3.1.C.3","1.3.1.C","WITHIN_1_WEEK","radiobutton"
"1.3.1.C.4","1.3.1.C","FLEXIBLE","radiobutton"
"1.3.2.A.1","1.3.2.A","VEGETARIAN","radiobutton"
"1.3.2.A.2","1.3.2.A","VEGAN","radiobutton"
"1.3.2.A.3","1.3.2.A","HIGH_PROTEIN","radiobutton"
"1.3.2.A.4","1.3.2.A","LOW_CARB","radiobutton"
"1.3.2.A.5","1.3.2.A","CULTURALLY_SPECIFIC","radiobutton"
"1.3.2.B.1","1.3.2.B","STOVE_OR_COOKTOP","checkbox"
"1.3.2.B.2","1.3.2.B","OVEN_OR_MICROWAVE","checkbox"
"1.3.2.B.3","1.3.2.B","UTENSILS_OR_COOKWARE_SET","checkbox"
"1.3.2.B.4","1.3.2.B","MIXER_OR_BLENDER","checkbox"
"1.3.2.B.5","1.3.2.B","NONE","checkbox"
"1.3.2.C.1","1.3.2.C","IMMEDIATE_NEXT_24_HOURS","radiobutton"
"1.3.2.C.2","1.3.2.C","WITHIN_3_DAYS","radiobutton"
"1.3.2.C.3","1.3.2.C","WITHIN_1_WEEK","radiobutton"
"1.3.2.C.4","1.3.2.C","FLEXIBLE","radiobutton"
"1.3.3.A.1","1.3.3.A","VEGETARIAN","radiobutton"
"1.3.3.A.2","1.3.3.A","VEGAN","radiobutton"
"1.3.3.A.3","1.3.3.A","HIGH_PROTEIN","radiobutton"
"1.3.3.A.4","1.3.3.A","LOW_CARB","radiobutton"
"1.3.3.A.5","1.3.3.A","CULTURALLY_SPECIFIC","radiobutton"
"1.3.3.B.1","1.3.3.B","STOVE_OR_COOKTOP","checkbox"
"1.3.3.B.2","1.3.3.B","OVEN_OR_MICROWAVE","checkbox"
"1.3.3.B.3","1.3.3.B","UTENSILS_OR_COOKWARE_SET","checkbox"
"1.3.3.B.4","1.3.3.B","MIXER_OR_BLENDER","checkbox"
"1.3.3.B.5","1.3.3.B","NONE","checkbox"
"1.3.3.C.1","1.3.3.C","IMMEDIATE_NEXT_24_HOURS","radiobutton"
"1.3.3.C.2","1.3.3.C","WITHIN_3_DAYS","radiobutton"
"1.3.3.C.3","1.3.3.C","WITHIN_1_WEEK","radiobutton"
"1.3.3.C.4","1.3.3.C","FLEXIBLE","radiobutton"
"1.3.4.A.1","1.3.4.A","VEGETARIAN","radiobutton"
"1.3.4.A.2","1.3.4.A","VEGAN","radiobutton"
"1.3.4.A.3","1.3.4.A","HIGH_PROTEIN","radiobutton"
"1.3.4.A.4","1.3.4.A","LOW_CARB","radiobutton"
"1.3.4.A.5","1.3.4.A","CULTURALLY_SPECIFIC","radiobutton"
"1.3.4.B.1","1.3.4.B","STOVE_OR_COOKTOP","checkbox"
"1.3.4.B.2","1.3.4.B","OVEN_OR_MICROWAVE","checkbox"
"1.3.4.B.3","1.3.4.B","UTENSILS_OR_COOKWARE_SET","checkbox"
"1.3.4.B.4","1.3.4.B","MIXER_OR_BLENDER","checkbox"
"1.3.4.B.5","1.3.4.B","NONE","checkbox"
"1.3.4.C.1","1.3.4.C","IMMEDIATE_NEXT_24_HOURS","radiobutton"
"1.3.4.C.2","1.3.4.C","WITHIN_3_DAYS","radiobutton"
"1.3.4.C.3","1.3.4.C","WITHIN_1_WEEK","radiobutton"
"1.3.4.C.4","1.3.4.C","FLEXIBLE","radiobutton"
"1.3.5.A.1","1.3.5.A","VEGETARIAN","radiobutton"
"1.3.5.A.2","1.3.5.A","VEGAN","radiobutton"
"1.3.5.A.3","1.3.5.A","HIGH_PROTEIN","radiobutton"
"1.3.5.A.4","1.3.5.A","LOW_CARB","radiobutton"
"1.3.5.A.5","1.3.5.A","CULTURALLY_SPECIFIC","radiobutton"
"1.3.5.B.1","1.3.5.B","STOVE_OR_COOKTOP","checkbox"
"1.3.5.B.2","1.3.5.B","OVEN_OR_MICROWAVE","checkbox"
"1.3.5.B.3","1.3.5.B","UTENSILS_OR_COOKWARE_SET","checkbox"
"1.3.5.B.4","1.3.5.B","MIXER_OR_BLENDER","checkbox"
"1.3.5.B.5","1.3.5.B","NONE","checkbox"
"1.3.5.C.1","1.3.5.C","IMMEDIATE_NEXT_24_HOURS","radiobutton"
"1.3.5.C.2","1.3.5.C","WITHIN_3_DAYS","radiobutton"
"1.3.5.C.3","1.3.5.C","WITHIN_1_WEEK","radiobutton"
"1.3.5.C.4","1.3.5.C","FLEXIBLE","radiobutton"
"2.1.A.1","2.1.A","MEN","checkbox"
"2.1.A.2","2.1.A","WOMEN","checkbox"
"2.1.A.3","2.1.A","UNISEX","checkbox"
"2.1.B.1","2.1.B","BABY_0_2_YEARS","checkbox"
"2.1.B.2","2.1.B","CHILD_3_12_YEARS","checkbox"
"2.1.B.3","2.1.B","TEEN_13_18_YEARS","checkbox"
"2.1.B.4","2.1.B","ADULT_19_64_YEARS","checkbox"
"2.1.B.5","2.1.B","ELDERLY_65_ABOVE_YEARS","checkbox"
"2.1.C.1","2.1.C","XS","checkbox"
"2.1.C.2","2.1.C","S","checkbox"
"2.1.C.3","2.1.C","M","checkbox"
"2.1.C.4","2.1.C","L","checkbox"
"2.1.C.5","2.1.C","XL","checkbox"
"2.1.C.6","2.1.C","XXL","checkbox"
"2.1.C.7","2.1.C","XXXL","checkbox"
"2.1.D.1","2.1.D","NEW_WITH_TAGS","checkbox"
"2.1.D.2","2.1.D","LIKE_NEW","checkbox"
"2.1.D.3","2.1.D","GENTLY_USED","checkbox"
"2.1.D.4","2.1.D","WORN_BUT_USABLE","checkbox"
"2.1.D.5","2.1.D","NEEDS_REPAIR","checkbox"
"2.2.B.1","2.2.B","MEN","checkbox"
"2.2.B.2","2.2.B","WOMEN","checkbox"
"2.2.B.3","2.2.B","UNISEX","checkbox"
"2.2.C.1","2.2.C","BABY_0_2_YEARS","checkbox"
"2.2.C.2","2.2.C","CHILD_3_12_YEARS","checkbox"
"2.2.C.3","2.2.C","TEEN_13_18_YEARS","checkbox"
"2.2.C.4","2.2.C","ADULT_19_64_YEARS","checkbox"
"2.2.C.5","2.2.C","ELDERLY_65_ABOVE_YEARS","checkbox"
"2.2.D.1","2.2.D","XS","checkbox"
"2.2.D.2","2.2.D","S","checkbox"
"2.2.D.3","2.2.D","M","checkbox"
"2.2.D.4","2.2.D","L","checkbox"
"2.2.D.5","2.2.D","XL","checkbox"
"2.2.D.6","2.2.D","XXL","checkbox"
"2.2.D.7","2.2.D","XXXL","checkbox"
"2.2.E.1","2.2.E","NEW_WITH_TAGS","checkbox"
"2.2.E.2","2.2.E","LIKE_NEW","checkbox"
"2.2.E.3","2.2.E","GENTLY_USED","checkbox"
"2.2.E.4","2.2.E","WORN_BUT_CLEAN","checkbox"
"2.2.E.5","2.2.E","NEEDS_REPAIR","checkbox"
"2.2.H.1","2.2.H","BORROW_TEMPORARILY","radiobutton"
"2.2.H.2","2.2.H","REQUEST_AS_DONATION","radiobutton"
"2.3.A.1","2.3.A","MEN","checkbox"
"2.3.A.2","2.3.A","WOMEN","radiobutton"
"2.3.A.3","2.3.A","UNISEX","radiobutton"
"2.3.B.1","2.3.B","BABY_0_2_YEARS","radiobutton"
"2.3.B.2","2.3.B","CHILD_3_12_YEARS","radiobutton"
"2.3.B.3","2.3.B","TEEN_13_18_YEARS","radiobutton"
"2.3.B.4","2.3.B","ADULT_19_64_YEARS","radiobutton"
"2.3.B.5","2.3.B","ELDERLY_65_ABOVE_YEARS","radiobutton"
"2.3.C.1","2.3.C","XS","radiobutton"
"2.3.C.2","2.3.C","S","radiobutton"
"2.3.C.3","2.3.C","M","radiobutton"
"2.3.C.4","2.3.C","L","radiobutton"
"2.3.C.5","2.3.C","XL","radiobutton"
"2.3.C.6","2.3.C","XXL","radiobutton"
"2.3.C.7","2.3.C","XXXL","radiobutton"
"2.3.E.1","2.3.E","FLOOD","radiobutton"
"2.3.E.2","2.3.E","FIRE","radiobutton"
"2.3.E.3","2.3.E","EVICTION","radiobutton"
