"field_id","field_name_key","field_type","status","cat_id"
"1.1.A","PREFERRED_MEAL_TYPE","list","active","1.1"
"1.1.B","DIETARY_RESTRICTIONS","list","active","1.1"
"1.1.C","HOUSEHOLD_SIZE","integer","active","1.1"
"1.2.A","GROCERY_LIST","textbox","active","1.2"
"1.2.B","DELIVERY_TIME","list","active","1.2"
"1.2.C","PAYMENT_METHOD","list","active","1.2"
"1.2.D","URGENCY_TIMELINE","list","active","1.2"
"1.3.1.A","RECIPE_PREFERENCE","list","active","1.3.1"
"1.3.1.B","KITCHEN_EQUIPMENT","list","active","1.3.1"
"1.3.1.C","URGENCY_TIMELINE","list","active","1.3.1"
"1.3.1.D","PREFERRED_LANGUGAE","textbox","active","1.3.1"
"1.3.2.A","RECIPE_PREFERENCE","list","active","1.3.2"
"1.3.2.B","KITCHEN_EQUIPMENT","list","active","1.3.2"
"1.3.2.C","URGENCY_TIMELINE","list","active","1.3.2"
"1.3.2.D","PREFERRED_LANGUGAE","textbox","active","1.3.2"
"1.3.3.A","RECIPE_PREFERENCE","list","active","1.3.3"
"1.3.3.B","KITCHEN_EQUIPMENT","list","active","1.3.3"
"1.3.3.C","URGENCY_TIMELINE","list","active","1.3.3"
"1.3.3.D","PREFERRED_LANGUGAE","textbox","active","1.3.3"
"1.3.4.A","RECIPE_PREFERENCE","list","active","1.3.4"
"1.3.4.B","KITCHEN_EQUIPMENT","list","active","1.3.4"
"1.3.4.C","URGENCY_TIMELINE","list","active","1.3.4"
"1.3.4.D","PREFERRED_LANGUGAE","textbox","active","1.3.4"
"1.3.5.A","RECIPE_PREFERENCE","list","active","1.3.5"
"1.3.5.B","KITCHEN_EQUIPMENT","list","active","1.3.5"
"1.3.5.C","URGENCY_TIMELINE","list","active","1.3.5"
"1.3.5.D","PREFERRED_LANGUGAE","textbox","active","1.3.5"
"2.1.A","GENDER_CATEGORY","list","active","2.1"
"2.1.B","TYPE_OF_CLOTHING","list","active","2.1"
"2.1.C","SIZE","list","active","2.1"
"2.1.D","CONDITION","list","active","2.1"
"2.1.E","TOTAL_QUANTITY","integer","active","2.1"
