NGO_name,Location,Website,Rating,Meta_data
Clothes To Kids,"Clearwater, FL",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=1,4,"Large-sized, Free goods distribution, Youth services"
Mustard Seed of Central Florida,"Orlando, FL",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=1,4,"Medium-sized, Public affairs, Basic and emergency aid"
House of Hope,"Stuart, FL",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=1,4,"Large-sized, Basic and emergency aid, Thrift shops"
Christian Center Of Park City,"Park City, UT",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=1,4,"Large-sized, Human services, Special population support"
Ecumenical Hunger Program,"East Palo Alto, CA",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=1,4,"Large-sized, Human services, Food aid"
Dress for Success Houston,"Houston, TX",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=1,4,"Large-sized, Employment, Personal services"
Shoes That Fit,"Claremont, CA",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=1,4,"Large-sized, Human services, Elementary and secondary education"
Hastings Family Service,"Hastings, MN",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=1,4,"Large-sized, Public affairs, Basic and emergency aid"
Nourish Phoenix,"Phoenix, AZ",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=1,4,"Large-sized, Human services, Food security"
Sacred Heart Community Service,"San Jose, CA",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=1,4,"Large-sized, Human services"
KidVantage,"Issaquah, WA",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=2,4,"Large-sized, Human services"
Shoes and Clothes for Kids,"Cleveland, OH",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=2,4,"Large-sized, Elementary and secondary education, Free goods distribution"
Modesto Gospel Mission,"Modesto, CA",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=2,4,"Large-sized, Human services, Christianity"
Manos de Cristo,"Austin, TX",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=2,4,"Large-sized, Health, Human services"
United Methodist Open Door,"Wichita, KS",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=2,4,"Large-sized, Basic and emergency aid, Protestantism"
Community Clothes Closet Inc.,"MENASHA, WI",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=2,4,"Medium-sized, Basic and emergency aid, Free goods distribution"
Neighbors,"South Saint Paul, MN",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=2,4,"Large-sized, Human services, Basic and emergency aid"
"Neighborhood Christian Centers, Inc.","Memphis, TN",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=2,4,"Large-sized, Human services, Family services"
Clothes That Work,"DAYTON, OH",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=2,4,"Medium-sized, Education, Human services"
Community Clothes Closet Inc.,"CHURCH HILL, TN",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=2,4,"Small-sized, Basic and emergency aid"
Clothes the Deal,"DOWNEY, CA",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=3,4,"Small-sized, Human services, Employment"
Delivering Good,"New York, NY",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=3,4,"Super-sized, Community and economic development, Family services"
Kimberly Home Pregnancy Resource Center,"Clearwater, FL",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=3,4,"Large-sized, Child care, Reproductive health care"
Clothes Helping Kids Inc.,"ALBUQUERQUE, NM",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=3,4,"Small-sized, Philanthropy"
